iteration,fitness,rmse
0,0.105,0.0115
1,0.1056,0.0115
2,0.1062,0.0115
3,0.1068,0.0115
4,0.1075,0.0115
5,0.1081,0.0116
6,0.1089,0.0116
7,0.1097,0.0116
8,0.1107,0.0116
9,0.1116,0.0116
10,0.113,0.0116
11,0.1146,0.0117
12,0.1165,0.0117
13,0.1186,0.0117
14,0.121,0.0117
15,0.1235,0.0117
16,0.1261,0.0117
17,0.1288,0.0118
18,0.1322,0.0118
19,0.1359,0.0119
20,0.1396,0.0118
21,0.1445,0.0118
22,0.151,0.0118
23,0.157,0.0117
24,0.1602,0.0115
25,0.1626,0.0114
26,0.1648,0.0113
27,0.1671,0.0113
28,0.1699,0.0113
