iteration,fitness,inlier_ratio
800209,0.54,0.0
150154,0.144,0.0
475877,0.49,0.0
675197,0.062,0.0
326727,0.112,0.0
727479,0.348,0.0
227964,0.305,0.0
277811,0.307,0.0
502378,0.076,0.0
653645,0.4,0.0
727492,0.367,0.0
675786,0.222,0.0
629838,0.171,0.0
379806,0.309,0.0
828705,0.185,0.0
354128,0.257,0.0
431917,0.405,0.0
931330,0.296,0.0
554388,0.045,0.0
104067,0.04,0.0
330713,0.438,0.0
259854,0.268,0.0
983083,0.046,0.0
536332,0.282,0.0
554506,0.205,0.0
36216,0.289,0.0
911501,0.273,0.0
612997,0.256,0.0
413635,0.276,0.0
185920,0.052,0.0
64118,0.455,0.0
787895,0.259,0.0
860557,0.074,0.0
889339,0.138,0.0
983176,0.129,0.0
142938,0.289,0.0
365085,0.262,0.0
242110,0.701,0.001
768982,0.121,0.0
219420,0.238,0.0
317844,0.045,0.0
721228,0.166,0.0
942756,0.367,0.0
797307,0.329,0.0
119925,0.404,0.0
322668,0.172,0.0
371453,0.635,0.001
440844,0.427,0.0
572416,0.35,0.0
872298,0.138,0.0
549268,0.346,0.0
623466,0.27,0.0
