iteration,fitness,rmse
0,0.0069,0.1798
1,0.0102,0.1483
2,0.0121,0.1371
3,0.0137,0.1316
4,0.015,0.1261
5,0.0162,0.124
6,0.0173,0.1204
7,0.0182,0.1173
8,0.0191,0.1152
9,0.0199,0.114
10,0.0207,0.1129
11,0.0214,0.1129
12,0.0221,0.1121
13,0.0227,0.1116
14,0.0233,0.1108
15,0.024,0.1105
16,0.0245,0.1104
17,0.025,0.1103
18,0.0256,0.1102
19,0.026,0.1098
20,0.0265,0.1091
21,0.027,0.1085
22,0.0274,0.108
23,0.0278,0.1086
24,0.0283,0.1089
25,0.0287,0.1092
26,0.0291,0.1094
27,0.0296,0.1094
28,0.03,0.1097
29,0.0304,0.11
0,0.0102,0.0179
1,0.0106,0.0179
2,0.0109,0.0179
3,0.0112,0.018
4,0.0114,0.0179
5,0.0116,0.0179
6,0.0117,0.0179
7,0.0118,0.0178
8,0.0119,0.0178
9,0.012,0.0178
10,0.0121,0.0177
11,0.0121,0.0177
12,0.0122,0.0177
13,0.0122,0.0177
14,0.0123,0.0177
15,0.0123,0.0177
16,0.0123,0.0177
17,0.0123,0.0177
18,0.0124,0.0177
19,0.0124,0.0177
20,0.0124,0.0177
21,0.0124,0.0177
22,0.0125,0.0177
23,0.0125,0.0177
24,0.0125,0.0177
25,0.0125,0.0177
26,0.0125,0.0177
27,0.0126,0.0177
28,0.0126,0.0177
29,0.0126,0.0177
