iteration,fitness,rmse
0,0.2156,0.0061
1,0.1977,0.0065
2,0.1966,0.0068
3,0.1571,0.0084
4,0.1064,0.0094
5,0.1209,0.0092
6,0.1267,0.0091
7,0.1314,0.0089
8,0.1364,0.0088
9,0.1405,0.0087
10,0.1449,0.0086
11,0.1485,0.0084
12,0.1499,0.0084
13,0.1508,0.0084
14,0.1517,0.0083
15,0.1527,0.0083
16,0.1536,0.0083
17,0.1543,0.0083
18,0.155,0.0083
19,0.1562,0.0083
20,0.1581,0.0084
21,0.1592,0.0084
22,0.1578,0.0081
23,0.1601,0.0081
24,0.1686,0.0081
25,0.1739,0.0081
26,0.182,0.0082
27,0.1977,0.0083
28,0.2151,0.0083
29,0.2212,0.0083
